,TMAX,TMIN,TAVG
2008-12-15,2.0,-19.0,-8.5
2008-12-16,34.0,-8.0,13.0
2008-12-17,37.0,14.0,25.5
2008-12-18,28.0,5.0,16.5
2008-12-19,44.0,14.0,29.0
2008-12-20,27.0,4.0,15.5
2008-12-21,19.0,0.0,9.5
2008-12-22,29.0,1.0,15.0
2008-12-23,28.0,10.0,19.0
2008-12-24,40.0,14.0,27.0
2008-12-25,48.0,12.0,30.0
2008-12-26,46.0,14.0,30.0
2008-12-27,34.0,11.0,22.5
2008-12-28,52.0,31.0,41.5
2008-12-29,58.0,29.0,43.5
2008-12-30,58.0,21.0,39.5
2008-12-31,53.0,18.0,35.5
2009-01-01,54.0,36.0,45.0
2009-01-02,63.0,32.0,47.5
2009-01-03,45.0,16.0,30.5
2009-01-04,24.0,10.0,17.0
2009-01-05,47.0,7.0,27.0
2009-01-06,42.0,24.0,33.0
2009-01-07,55.0,27.0,41.0
2009-01-08,63.0,30.0,46.5
2009-01-09,44.0,19.0,31.5
2009-01-10,44.0,20.0,32.0
2009-01-11,47.0,18.0,32.5
2009-01-12,39.0,13.0,26.0
2009-01-13,48.0,15.0,31.5
2009-01-14,45.0,25.0,35.0
2009-01-15,47.0,23.0,35.0
2009-01-16,61.0,31.0,46.0
2009-01-17,57.0,24.0,40.5
2009-01-18,62.0,31.0,46.5
2009-01-19,64.0,33.0,48.5
2009-01-20,67.0,30.0,48.5
2009-01-21,71.0,41.0,56.0
2009-12-15,54.0,21.0,37.5
2009-12-16,55.0,30.0,42.5
2009-12-17,54.0,23.0,38.5
2009-12-18,43.0,17.0,30.0
2009-12-19,51.0,14.0,32.5
2009-12-20,57.0,19.0,38.0
2009-12-21,59.0,32.0,45.5
2009-12-22,44.0,28.0,36.0
2009-12-23,27.0,13.0,20.0
2009-12-24,22.0,2.0,12.0
2009-12-25,24.0,-1.0,11.5
2009-12-26,30.0,20.0,25.0
2009-12-27,26.0,4.0,15.0
2009-12-28,30.0,5.0,17.5
2009-12-29,32.0,16.0,24.0
2009-12-30,31.0,11.0,21.0
